! note: initial lines of file can contain comments
!
            60 -- model for mesa/star, with cell boundary velocities (v), with angular velocities (omega), with convection velocities (conv_vel). cgs units. lnd=ln(density), lnT=ln(temperature), lnR=ln(radius), L=luminosity, dq=fraction of total mstar in cell; remaining cols are mass fractions.

                          M/Msun      1.2120676762883630D+01
                    model_number                            5819
                        star_age      1.5405478059032502D+07
                       initial_z      3.4000000000000024D-04
                        n_shells                            1993
                        net_name   'approx21.net'
                         species                              21
                            time      4.8616838716216894D+14

                lnd                        lnT                        lnR                          L                  dq                          v                      omega                   conv_vel                   neut                       h1                         prot                       he3                        he4                        c12                        n14                        o16                        ne20                       mg24                       si28                       s32                        ar36                       ca40                       ti44                       cr48                       cr56                       fe52                       fe54                       fe56                       ni56     
   11    -1.5439692602820964D+01     1.2500916505433818D+01     2.3973133221068789D+01     1.1596768230402714D+39     1.4318334175885361D-13     0.0000000000000000D+00     3.7317702638362950D-03     2.4552361246726324D+06     1.0301331472933366D-99     4.3850467460111861D-31     1.0301331473906136D-99     1.2035479386874514D-30     4.4720814446152088D-02     3.0594810478872314D-01     1.7124594466941022D-08     6.4768693354249249D-01     1.5523864823332027D-03     6.0993439703447549D-05     8.2784694513318317D-06     5.0166223617129261D-06     9.8101760550415502D-07     7.5916633275839240D-07     2.4170433738728260D-22     8.2601328939389677D-41     1.0301331473419759D-99     1.7809183998674429D-61     9.0369158723151610D-07     1.4811208662413537D-05     1.0190430281847311D-99 
   12    -1.5410911914712568D+01     1.2524623522032438D+01     2.3973051916341283D+01     1.1597131084368397D+39     2.8636668351769207D-13     0.0000000000000000D+00     3.7318702265917265D-03     2.0830028431432734D+06     1.0301331472933370D-99     4.3850467441862308D-31     1.0301331473906136D-99     1.2035479381374047D-30     4.4720814446054131D-02     3.0594810478853333D-01     1.7124594466889289D-08     6.4768693354277742D-01     1.5523864823361346D-03     6.0993439703497980D-05     8.2784694513318388D-06     5.0166223617129270D-06     9.8101760550415519D-07     7.5916633275839240D-07     2.4170433738818064D-22     8.2601328939963174D-41     1.0301331473419761D-99     1.7809183998859912D-61     9.0369158723151610D-07     1.4811208662413537D-05     1.0190428367249164D-99 
   13    -1.5305648263108682D+01     1.2557193871988170D+01     2.3972893863457294D+01     1.1599064585617679D+39     3.8523336703531313D-13     0.0000000000000000D+00     3.7320291407670476D-03     2.2600928098044237D+05     1.0301331472933370D-99     4.3850467397698364D-31     1.0301331473906134D-99     1.2035479368062900D-30     4.4720814445817040D-02     3.0594810478807370D-01     1.7124594466764082D-08     6.4768693354346682D-01     1.5523864823432324D-03     6.0993439703620051D-05     8.2784694513318406D-06     5.0166223617129279D-06     9.8101760550415466D-07     7.5916633275839258D-07     2.4170433739035410D-22     8.2601328941351006D-41     1.0301331473419756D-99     1.7809183999308785D-61     9.0369158723151628D-07     1.4811208662413537D-05     1.0190423733685416D-99 
   14    -1.5195534697664259D+01     1.2583983139105880D+01     2.3972702386682023D+01     1.1601844335362310D+39     2.4205002527645289D-13     0.0000000000000000D+00     3.7321125188437260D-03     5.2031482151974612D+06     1.0301331472933361D-99     4.3850467386078237D-31     1.0301331473906132D-99     1.2035479364560561D-30     4.4720814445754681D-02     3.0594810478795286D-01     1.7124594466731148D-08     6.4768693354364827D-01     1.5523864823450996D-03     6.0993439703652159D-05     8.2784694513318459D-06     5.0166223617129253D-06     9.8101760550415537D-07     7.5916633275839231D-07     2.4170433739092600D-22     8.2601328941716136D-41     1.0301331473419756D-99     1.7809183999426901D-61     9.0369158723151574D-07     1.4811208662413532D-05     1.0190422514391765D-99 
   15    -1.5142254066774989D+01     1.2612283900578060D+01     2.3972594573813679D+01     1.1603105607228061D+39     4.8410005055291103D-13     0.0000000000000000D+00     3.7321640339373010D-03     7.3955173801464662D+05     1.0301331472933368D-99     4.3850467345241055D-31     1.0301331473906132D-99     1.2035479352252125D-30     4.4720814445535479D-02     3.0594810478752796D-01     1.7124594466615392D-08     6.4768693354428563D-01     1.5523864823516621D-03     6.0993439703765064D-05     8.2784694513318566D-06     5.0166223617129253D-06     9.8101760550415573D-07     7.5916633275839231D-07     2.4170433739293586D-22     8.2601328942999394D-41     1.0301331473419759D-99     1.7809183999841959D-61     9.0369158723151592D-07     1.4811208662413537D-05     1.0190418229293189D-99 
   16    -1.5013531146895708D+01     1.2636978281911783D+01     2.3972390040251205D+01     1.1606605289314464D+39     2.4205002527645489D-13     0.0000000000000000D+00     3.7322944636874830D-03     2.1378255283551452D+06     1.0301331472933372D-99     4.3850467318552945D-31     1.0301331473906139D-99     1.2035479344208244D-30     4.4720814445392242D-02     3.0594810478725018D-01     1.7124594466539733D-08     6.4768693354470210D-01     1.5523864823559511D-03     6.0993439703838854D-05     8.2784694513318637D-06     5.0166223617129270D-06     9.8101760550415590D-07     7.5916633275839249D-07     2.4170433739424912D-22     8.2601328943838083D-41     1.0301331473419761D-99     1.7809184000113220D-61     9.0369158723151592D-07     1.4811208662413541D-05     1.0190415428632775D-99 
   17    -1.4964135289455731D+01     1.2652423247743889D+01     2.3972300085774675D+01     1.1608006892903854D+39     2.4205002527645169D-13     0.0000000000000000D+00     3.7323420427973430D-03     2.9050236254733050D+06     1.0301331472933377D-99     4.3850467304025917D-31     1.0301331473906143D-99     1.2035479339829759D-30     4.4720814445314269D-02     3.0594810478709910D-01     1.7124594466498558D-08     6.4768693354492885D-01     1.5523864823582864D-03     6.0993439703879017D-05     8.2784694513318690D-06     5.0166223617129279D-06     9.8101760550415626D-07     7.5916633275839293D-07     2.4170433739496410D-22     8.2601328944294589D-41     1.0301331473419761D-99     1.7809184000260875D-61     9.0369158723151645D-07     1.4811208662413546D-05     1.0190413904108679D-99 
   18    -1.4904543614467522D+01     1.2674013749764270D+01     2.3972214444164698D+01     1.1609460038438383D+39     4.8410005055291867D-13     0.0000000000000000D+00     3.7323994005442093D-03     3.3498039562565917D+05     1.0301331472933372D-99     4.3850467246843587D-31     1.0301331473906141D-99     1.2035479322594837D-30     4.4720814445007341D-02     3.0594810478650411D-01     1.7124594466336457D-08     6.4768693354582147D-01     1.5523864823674752D-03     6.0993439704037113D-05     8.2784694513318832D-06     5.0166223617129288D-06     9.8101760550415608D-07     7.5916633275839320D-07     2.4170433739777843D-22     8.2601328946091481D-41     1.0301331473419763D-99     1.7809184000842073D-61     9.0369158723151663D-07     1.4811208662413550D-05     1.0190407902986187D-99 
   19    -1.4789832717273267D+01     1.2700340414253106D+01     2.3972053010005720D+01     1.1613415479732347D+39     5.0715243391258466D-13     0.0000000000000000D+00     3.7325355915843805D-03     8.6730913225995251D+05     1.0301331472933359D-99     4.3850467207245245D-31     1.0301331473906139D-99     1.2035479310659769D-30     4.4720814444794765D-02     3.0594810478609213D-01     1.7124594466224191D-08     6.4768693354643955D-01     1.5523864823738371D-03     6.0993439704146563D-05     8.2784694513318868D-06     5.0166223617129270D-06     9.8101760550415502D-07     7.5916633275839222D-07     2.4170433739972692D-22     8.2601328947335801D-41     1.0301331473419756D-99     1.7809184001244531D-61     9.0369158723151663D-07     1.4811208662413541D-05     1.0190403746686977D-99 
   20    -1.4691343958074543D+01     1.2724693541234630D+01     2.3971902146583152D+01     1.1617221335390723D+39     5.0715243391254150D-13     0.0000000000000000D+00     3.7326533017494809D-03     1.3108640377763418D+06     1.0301331472933361D-99     4.3850467171926945D-31     1.0301331473906134D-99     1.2035479300014726D-30     4.4720814444605156D-02     3.0594810478572447D-01     1.7124594466124076D-08     6.4768693354699102D-01     1.5523864823795112D-03     6.0993439704244147D-05     8.2784694513318939D-06     5.0166223617129226D-06     9.8101760550415466D-07     7.5916633275839231D-07     2.4170433740146504D-22     8.2601328948445598D-41     1.0301331473419748D-99     1.7809184001603506D-61     9.0369158723151521D-07     1.4811208662413523D-05     1.0190400039303855D-99 
