! note: initial lines of file can contain comments
!
            60 -- model for mesa/star, with cell boundary velocities (v), with angular velocities (omega), with convection velocities (conv_vel). cgs units. lnd=ln(density), lnT=ln(temperature), lnR=ln(radius), L=luminosity, dq=fraction of total mstar in cell; remaining cols are mass fractions.

                          M/Msun      1.2120676762883630D+01
                    model_number                            5819
                        star_age      1.5405478059032502D+07
                       initial_z      3.4000000000000024D-04
                        n_shells                            1993
                        net_name   'approx21.net'
                         species                              21
                            time      4.8616838716216894D+14

                lnd                        lnT                        lnR                          L                  dq                          v                      omega                   conv_vel                   neut                       h1                         prot                       he3                        he4                        c12                        n14                        o16                        ne20                       mg24                       si28                       s32                        ar36                       ca40                       ti44                       cr48                       cr56                       fe52                       fe54                       fe56                       ni56     
  247     3.2140890733364075D+00     1.8154470524873877D+01     2.3513513083350670D+01     1.6029364795017942D+39     5.4214623948212512D-04     0.0000000000000000D+00     3.8128928062327688D-03     6.1998531165825170D-02     1.0301331472838071D-99     2.1324591670812869D-43     1.0301331474001411D-99     1.7895678554190417D-65     4.2266380876592828D-02     3.0116502023479059D-01     1.5844412428669489D-08     6.5484622212597471D-01     1.6292809826466161D-03     6.2329633242133963D-05     8.2785957701621413D-06     5.0166223821565667D-06     9.8101760556098689D-07     7.5916633275841327D-07     2.6531356528148264D-22     9.8219940467695536D-41     1.0301331473419732D-99     2.3059931645998226D-61     9.0369158723151361D-07     1.4811208662413399D-05     0.0000000000000000D+00 
  248     3.3012907020844508D+00     1.8181738064656515D+01     2.3503689553915125D+01     1.6095471909178550D+39     4.1134606192968998D-04     0.0000000000000000D+00     3.8130050358712551D-03     5.5768169485728753D-02     1.0301331472828911D-99     3.6908796226861175D-46     1.0301331474010655D-99     1.5374936543410225D-65     4.2057570644568462D-02     3.0075577460664670D-01     1.5736972663680461D-08     6.5545729139854209D-01     1.6361470865492919D-03     6.2450213205330591D-05     8.2786069433009448D-06     5.0166223839549832D-06     9.8101760556604666D-07     7.5916633275840625D-07     2.6742753439767548D-22     9.9670223149320751D-41     1.0301331473419839D-99     2.3566612676213485D-61     9.0369158723151397D-07     1.4811208662413437D-05     0.0000000000000000D+00 
  249     3.3558402600293883D+00     1.8198756515418299D+01     2.3496683744557396D+01     1.6144462081809846D+39     2.2261880279826833D-04     0.0000000000000000D+00     3.8131421133290572D-03     5.0654349188916674D-02     1.0301331472822554D-99     5.5089566872591406D-47     1.0301331474016952D-99     1.6146459394318406D-65     4.1910175745162163D-02     3.0046666463343272D-01     1.5661279508635619D-08     6.5588883031615532D-01     1.6410272749362347D-03     6.2536047586491241D-05     8.2786148742219687D-06     5.0166223852305344D-06     9.8101760556961163D-07     7.5916633275840732D-07     2.6893068922312628D-22     1.0070684656026180D-40     1.0301331473419705D-99     2.3930785740413362D-61     9.0369158723151041D-07     1.4811208662413488D-05     1.0000000000600104D-99 
  250     3.4080178231043949D+00     1.8215624588167571D+01     2.3493035629906708D+01     1.6131306469647668D+39     4.3160346680556251D-04     0.0000000000000000D+00     3.8132326863571464D-03     2.0869072322775261D-02     1.0301331472816939D-99     1.5091666998843549D-47     1.0301331474022634D-99     4.6730890540948024D-66     4.1778128078907394D-02     3.0020749400923905D-01     1.5593571132683761D-08     6.5627557534643097D-01     1.6454231861065804D-03     6.2613457159489200D-05     8.2786220106596033D-06     5.0166223863775387D-06     9.8101760557280410D-07     7.5916633275841292D-07     2.7028512438634244D-22     1.0164475527353040D-40     1.0301331473419730D-99     2.4261720983997956D-61     9.0369158723151095D-07     1.4811208662413464D-05     1.0000000000135313D-99 
  251     3.5018330381701070D+00     1.8245371841924136D+01     2.3486216253119045D+01     1.5952105425993384D+39     8.1254821816758013D-04     0.0000000000000000D+00     3.8134346425693777D-03     3.6431646708024452D-02     1.0301331472804671D-99     1.1921373394077119D-46     1.0301331474035011D-99     1.3925598168631250D-67     4.1504638300126242D-02     2.9967016935267697D-01     1.5453681212665932D-08     6.5707704318909296D-01     1.6546078540397677D-03     6.2775506909481677D-05     8.2786368962960210D-06     5.0166223887675789D-06     9.8101760557952246D-07     7.5916633275841336D-07     2.7311653953866041D-22     1.0361843668837822D-40     1.0301331473419776D-99     2.4963026314894913D-61     9.0369158723151095D-07     1.4811208662413539D-05     0.0000000000000000D+00 
  252     3.5966181794571197D+00     1.8275026839970987D+01     2.3474192932606325D+01     1.6298576681303109D+39     5.2925286394908610D-04     0.0000000000000000D+00     3.8139852666620006D-03     4.3695088375378325D-02     1.0301331472791337D-99     2.0365118322406279D-45     1.0301331474048169D-99     5.7971375650705985D-68     4.1214388918783262D-02     2.9909922238263373D-01     1.5305657083031389D-08     6.5792821473231350D-01     1.6644585884801303D-03     6.2949712723418169D-05     8.2786528294217731D-06     5.0166223913228176D-06     9.8101760558670729D-07     7.5916633275840776D-07     2.7615524761275498D-22     1.0575348750222293D-40     1.0301331473419752D-99     2.5728075219801098D-61     9.0369158723150952D-07     1.4811208662413488D-05     1.0000000000251236D-99 
  253     3.6710607694294958D+00     1.8298932869144149D+01     2.3466859651759994D+01     1.6294763503316418D+39     6.3009159675548982D-04     0.0000000000000000D+00     3.8144481980859051D-03     2.2574152280270696D-02     1.0301331472780466D-99     5.6254752708383541D-43     1.0301331474059229D-99     4.4017873666119644D-69     4.0975466648377514D-02     2.9862860823872004D-01     1.5184207974391643D-08     6.5862940210386780D-01     1.6726622883423636D-03     6.3095163833173426D-05     8.2786660693364062D-06     5.0166223934429901D-06     9.8101760559264050D-07     7.5916633275842277D-07     2.7868770674630449D-22     1.0754843531663333D-40     1.0301331473419836D-99     2.6377206901901000D-61     9.0369158723152107D-07     1.4811208662413550D-05     0.0000000000000000D+00 
  254     3.7555112789675262D+00     1.8325558600859853D+01     2.3458563281269966D+01     1.6205699439810961D+39     7.6478251499795195D-04     0.0000000000000000D+00     3.8151378628666726D-03     3.0395724807545727D-02     1.0301331472765968D-99     3.1271849150952544D-42     1.0301331474073733D-99     3.6865012643074241D-72     4.0677302065079334D-02     2.9804046723170237D-01     1.5033171151926769D-08     6.5950515874789257D-01     1.6830271026207048D-03     6.3279430191076153D-05     8.2786827583548383D-06     5.0166223961116953D-06     9.8101760560016941D-07     7.5916633275841984D-07     2.8188975780643001D-22     1.0983895745876040D-40     1.0301331473419703D-99     2.7213618402191714D-61     9.0369158723151006D-07     1.4811208662413508D-05     1.0000000000229696D-99 
  255     3.8239368634476402D+00     1.8347048629363332D+01     2.3449058571197465D+01     1.6438835592500316D+39     4.3293431218532631D-04     0.0000000000000000D+00     3.8161661093179173D-03     3.5341147405504105D-02     1.0301331472753234D-99     9.6781275258688488D-46     1.0301331474086348D-99     5.2863021202895694D-75     4.0417969693779225D-02     2.9752829831928755D-01     1.4902199350710246D-08     6.6026738652841183D-01     1.6921383626316739D-03     6.3441789703896196D-05     8.2786973998539021D-06     5.0166223984500479D-06     9.8101760560679256D-07     7.5916633275843317D-07     2.8470643020970495D-22     1.1186981459027782D-40     1.0301331473419708D-99     2.7961393902920748D-61     9.0369158723152427D-07     1.4811208662413692D-05     0.0000000000000000D+00 
  256     3.8726729763508211D+00     1.8362543453406679D+01     2.3443922225001609D+01     1.6378198337859259D+39     4.7488866536422431D-04     0.0000000000000000D+00     3.8168428888328094D-03     1.4775240278687553D-02     1.0301331472742756D-99     1.8716539540661152D-48     1.0301331474096773D-99     6.2163003223893378D-74     4.0206404522199106D-02     2.9710995435348618D-01     1.4795674689627114D-08     6.6088964870104867D-01     1.6996512305911513D-03     6.3575980962696680D-05     8.2787094488688079D-06     5.0166224003718351D-06     9.8101760561218451D-07     7.5916633275844791D-07     2.8703055294596024D-22     1.1355887719825752D-40     1.0301331473419761D-99     2.8588501338730107D-61     9.0369158723153404D-07     1.4811208662413946D-05     0.0000000000000000D+00 
  257     3.9218237574985934D+00     1.8378043185587344D+01     2.3438470230584238D+01     1.6370196955386004D+39     4.7488866536426419D-04     0.0000000000000000D+00     3.8176612159572286D-03     2.6057333954000108D-02     1.0301331472731873D-99     1.1390584450738241D-45     1.0301331474107666D-99     7.8423828775240176D-73     3.9995085103285790D-02     2.9669164344146485D-01     1.4689558841339900D-08     6.6151156800824271D-01     1.7072267558165988D-03     6.3711573463660240D-05     8.2787215771507725D-06     5.0166224023040477D-06     9.8101760561765694D-07     7.5916633275846354D-07     2.8937548953024130D-22     1.1527508421611827D-40     1.0301331473419783D-99     2.9230390671024760D-61     9.0369158723154914D-07     1.4811208662414065D-05     1.0000000000520574D-99 
  258     3.9689377192182767D+00     1.8392936711722274D+01     2.3433195532403541D+01     1.6412509672196731D+39     4.7509859802964893D-04     0.0000000000000000D+00     3.8185545341560436D-03     2.6635702788955124D-02     1.0301331472720693D-99     3.6690490945125158D-49     1.0301331474118855D-99     5.1683544821929299D-72     3.9780638065801987D-02     2.9626683002632848D-01     1.4582068296110268D-08     6.6214295268820420D-01     1.7149639416398134D-03     6.3850255415306182D-05     8.2787339496279646D-06     5.0166224042736828D-06     9.8101760562326010D-07     7.5916633275847216D-07     2.9177146743366787D-22     1.1703702216890403D-40     1.0301331473419774D-99     2.9892676761056637D-61     9.0369158723155802D-07     1.4811208662414189D-05     0.0000000000000000D+00 
  259     4.0142442874874317D+00     1.8407259421699560D+01     2.3428082298841435D+01     1.6438999185431606D+39     4.7509859802965408D-04     0.0000000000000000D+00     3.8195146294991126D-03     1.3043402112953479D-02     1.0301331472709227D-99     1.7649966716611480D-47     1.0301331474130301D-99     1.6460105069512838D-71     3.9561270289006564D-02     2.9583180307523901D-01     1.4472404128294633D-08     6.6278921452093308D-01     1.7229534327867666D-03     6.3993756332335411D-05     8.2787467035958339D-06     5.0166224063016491D-06     9.8101760562897375D-07     7.5916633275847589D-07     2.9424710175676072D-22     1.1887025777183128D-40     1.0301331473419756D-99     3.0586792946811267D-61     9.0369158723155802D-07     1.4811208662414230D-05     1.0000000000221895D-99 
  260     4.0564789683009836D+00     1.8420784775286751D+01     2.3423121148801282D+01     1.6065900943296806D+39     4.7914496080636972D-04    -6.8220446884226424D+03     3.8205373687191745D-03     6.5606492974322110D-03     1.0301331472695265D-99     2.5197590912939751D-45     1.0301331474144286D-99     2.0714601253159967D-71     3.9302815934328151D-02     2.9531867897832864D-01     1.4343567679943614D-08     6.6355111391399947D-01     1.7324614515839886D-03     6.4164909741309186D-05     8.2787618539366629D-06     5.0166224087077120D-06     9.8101760563581805D-07     7.5916633275847908D-07     2.9719522815589982D-22     1.2106965265941258D-40     1.0301331473419772D-99     3.1426026847357433D-61     9.0369158723155909D-07     1.4811208662414245D-05     1.0027419453161965D-99 
  261     4.1000888970031930D+00     1.8434098555994202D+01     2.3418253420382462D+01     1.6341632057559500D+39     4.7914496080639059D-04    -1.5081335115468590D+06     3.8216822125493514D-03     1.0116540282200590D-02     1.0301331472687935D-99     2.0978592346977111D-45     1.0301331474151655D-99     1.3957791393091225D-71     3.9168391530835155D-02     2.9505157857768011D-01     1.4276696869817473D-08     6.6394756773505516D-01     1.7374426835091294D-03     6.4254719844840435D-05     8.2787697807408751D-06     5.0166224099655050D-06     9.8101760563939546D-07     7.5916633275848104D-07     2.9874049233061583D-22     1.2222865096688559D-40     1.0301331473419790D-99     3.1870738988592863D-61     9.0369158723155980D-07     1.4811208662414257D-05     1.1493679693841469D-99 
  262     4.1499690325844635D+00     1.8450308770739820D+01     2.3413525852385386D+01     1.6533650729864925D+39     7.1871744120958149D-04    -1.4927433822440860D+06     3.8228118306689683D-03     2.2480628291274444D-02     1.0301331472670924D-99     4.3798315791192310D-45     1.0301331474168617D-99     2.9892629163163451D-73     3.8859219059083972D-02     2.9443668262205505D-01     1.4123254857581994D-08     6.6485987635502832D-01     1.7489939825856247D-03     6.4463363255517904D-05     8.2787881354724923D-06     5.0166224128749208D-06     9.8101760564763687D-07     7.5916633275848184D-07     3.0232588408732961D-22     1.2493414611819166D-40     1.0301331473419772D-99     3.2915404601680826D-61     9.0369158723155820D-07     1.4811208662414230D-05     0.0000000000000000D+00 
  263     4.2078267003948734D+00     1.8468600126077255D+01     2.3406661272717168D+01     1.6349299451397156D+39     7.1871744120959188D-04    -1.4118485894982462D+06     3.8245868238395178D-03     1.4430180500905276D-02     1.0301331472644725D-99     3.9125104659262127D-49     1.0301331474194819D-99     3.2711076430034387D-76     3.8412674623307969D-02     2.9354675243641302D-01     1.3902778708919207D-08     6.6617905306987985D-01     1.7659839728180022D-03     6.4771473152576302D-05     8.2788150443723171D-06     5.0166224171306259D-06     9.8101760565983759D-07     7.5916633275848619D-07     3.0760592159167714D-22     1.2897207578892064D-40     1.0301331473419768D-99     3.4496385044990041D-61     9.0369158723155855D-07     1.4811208662414239D-05     1.0000000000436379D-99 
  264     4.2633333183194546D+00     1.8486260699587472D+01     2.3400050293657037D+01     1.6580884337167058D+39     7.1871744120963700D-04    -1.3507598344180535D+06     3.8264357879758836D-03     1.5348106599456943D-02     1.0301331472632415D-99     3.7693044451359223D-46     1.0301331474207027D-99     4.6339347106037100D-78     3.8202563570548605D-02     2.9312758769698522D-01     1.3799304222105737D-08     6.6680011534663350D-01     1.7740509948043088D-03     6.4918057316495385D-05     8.2788278004598225D-06     5.0166224191457056D-06     9.8101760566557363D-07     7.5916633275848406D-07     3.1011449106219610D-22     1.3090321481999611D-40     1.0301331473419721D-99     3.5257645013314280D-61     9.0369158723155411D-07     1.4811208662414165D-05     0.0000000000000000D+00 
  265     4.3066114562933144D+00     1.8499735367114521D+01     2.3393673226157636D+01     1.6725971296931687D+39     4.1925184070557506D-04    -1.3650592213939700D+06     3.8283573566524031D-03     2.2972097869916909D-02     1.0301331472622152D-99     1.7083708579777676D-45     1.0301331474217434D-99     1.9965654884946957D-77     3.8025463287143743D-02     2.9277399744992425D-01     1.3712259407487221D-08     6.6732383341243117D-01     1.7808989099319136D-03     6.5042683085198085D-05     8.2788386152696471D-06     5.0166224208525074D-06     9.8101760567040408D-07     7.5916633275848965D-07     3.1224500573332933D-22     1.3255183598422830D-40     1.0301331473419792D-99     3.5911023905883081D-61     9.0369158723155837D-07     1.4811208662414236D-05     1.0000000000783337D-99 
  266     4.3395537556469729D+00     1.8510075812017380D+01     2.3390056989034513D+01     1.6733720780219536D+39     4.7914496080641306D-04    -1.3888782710156317D+06     3.8294965068101500D-03     1.7431194137956480D-02     1.0301331472608836D-99     8.5874776003261104D-49     1.0301331474230714D-99     3.4328039289325542D-77     3.7805192164178000D-02     2.9233359087618655D-01     1.3604388064663892D-08     6.6797572811001515D-01     1.7895245866808164D-03     6.5200099732777392D-05     8.2788522073852952D-06     5.0166224229943088D-06     9.8101760567653606D-07     7.5916633275849036D-07     3.1493099508762609D-22     1.3464959396636286D-40     1.0301331473419776D-99     3.6750377201946871D-61     9.0369158723155820D-07     1.4811208662414230D-05     0.0000000000000000D+00 
  267     4.3759263803487042D+00     1.8521458647135437D+01     2.3386011858058690D+01     1.6741369385942990D+39     5.3903808090710549D-04    -1.4191315713488807D+06     3.8307799678739421D-03     1.8856046274923301D-02     1.0301331472584507D-99     1.3472457662180368D-46     1.0301331474255090D-99     1.7289960527575343D-76     3.7425091388895332D-02     2.9157269376680927D-01     1.3418828182344451D-08     6.6910140288946182D-01     1.8045725735911474D-03     6.5475379924802030D-05     8.2788758744350499D-06     5.0166224267185084D-06     9.8101760568724341D-07     7.5916633275849614D-07     3.1962046360749991D-22     1.3834121491744495D-40     1.0301331473419801D-99     3.8239539756134689D-61     9.0369158723156033D-07     1.4811208662414259D-05     1.0000000000561988D-99 
  268     4.4187939563366134D+00     1.8535111693147642D+01     2.3381567402179377D+01     1.6799154150603873D+39     7.1871744120936291D-04    -1.4466747904519814D+06     3.8322022430802110D-03     1.7970771374116328D-02     1.0301331472572972D-99     5.3303671575218984D-48     1.0301331474266570D-99     8.8483144185524782D-77     3.7240569786462014D-02     2.9120270216757337D-01     1.3329109338228484D-08     6.6964836610267610D-01     1.8119865725500570D-03     6.5611447507206364D-05     8.2788875051101413D-06     5.0166224285451344D-06     9.8101760569243499D-07     7.5916633275849463D-07     3.2193335301127388D-22     1.4018153666139130D-40     1.0301331473419776D-99     3.8990083685835891D-61     9.0369158723155731D-07     1.4811208662414212D-05     0.0000000000000000D+00 
  269     4.4583885727649690D+00     1.8547660290309046D+01     2.3375802542203714D+01     1.6861803890275590D+39     4.7914496080645472D-04    -1.4660447588114607D+06     3.8340995306157402D-03     2.0137454796975124D-02     1.0301331472555448D-99     1.1985700520208279D-48     1.0301331474284125D-99     1.8043838642071836D-76     3.6974906905606936D-02     2.9066972203457982D-01     1.3200119884214291D-08     6.7043608589638106D-01     1.8227128387047859D-03     6.5808513670287362D-05     8.2789043177974193D-06     5.0166224311841212D-06     9.8101760570005360D-07     7.5916633275849783D-07     3.2528071116800236D-22     1.4285431244948119D-40     1.0301331473419783D-99     4.0084035497142664D-61     9.0369158723155802D-07     1.4811208662414228D-05     1.0000000000514823D-99 
  270     4.4944309967680204D+00     1.8559217973291232D+01     2.3372055389184280D+01     1.6825894374599450D+39     6.5882432110846584D-04    -1.4698771704400694D+06     3.8353807638481640D-03     7.4864428661628501D-03     1.0301331472535746D-99     1.5185757367987173D-47     1.0301331474303758D-99     3.3005312838527287D-77     3.6680771345517322D-02     2.9007873866770159D-01     1.3057842181432055D-08     6.7130894628857076D-01     1.8347496981241093D-03     6.6030312480360651D-05     8.2789231412290948D-06     5.0166224341335441D-06     9.8101760570852256D-07     7.5916633275849845D-07     3.2904074834314189D-22     1.4588599774484524D-40     1.0301331473419750D-99     4.1337337267390230D-61     9.0369158723155607D-07     1.4811208662414195D-05     1.0297197760311589D-99 
  271     4.5316376810433967D+00     1.8570952238601652D+01     2.3367019561541613D+01     1.6786344828648149D+39     5.3903808090697014D-04    -1.4667698182852150D+06     3.8371878665852108D-03     9.4075317644909333D-03     1.0301331472518036D-99     7.8602473891406825D-50     1.0301331474321493D-99     1.3334351395778858D-76     3.6422823966888868D-02     2.8955968795917851D-01     1.2933521432836792D-08     6.7207504682493626D-01     1.8454496084938000D-03     6.6228060520602323D-05     8.2789398354105916D-06     5.0166224367445284D-06     9.8101760571603104D-07     7.5916633275850395D-07     3.3238647212594845D-22     1.4861002495585296D-40     1.0301331473419768D-99     4.2474686677648492D-61     9.0369158723155891D-07     1.4811208662414241D-05     1.0933109390109203D-99 
  272     4.5710332743609143D+00     1.8583479131344994D+01     2.3362995491677640D+01     1.6759497858665824D+39     7.8012946382963761D-04    -1.4602558663604958D+06     3.8387275618607489D-03     1.2484046839511162D-02     1.0301331472498864D-99     5.0135318386027529D-48     1.0301331474340662D-99     7.3774323890401554D-77     3.6150851372869921D-02     2.8901170627795442D-01     1.2802839831803198D-08     6.7288337517341929D-01     1.8568641540155418D-03     6.6439554663634616D-05     8.2789576094306749D-06     5.0166224395202227D-06     9.8101760572403904D-07     7.5916633275850475D-07     3.3595873476729765D-22     1.5154291971174471D-40     1.0301331473419768D-99     4.3709674083599727D-61     9.0369158723155731D-07     1.4811208662414212D-05     1.2463165863454030D-99 
  273     4.6114127346317239D+00     1.8596170084145107D+01     2.3357314513634368D+01     1.6800630946102829D+39     6.0298160772667026D-04    -1.4474166399816700D+06     3.8410443020313053D-03     1.3696209341569507D-02     1.0301331472475787D-99     1.3866974175120971D-50     1.0301331474363732D-99     4.9642682109887479D-77     3.5831037112833130D-02     2.8836664606330653D-01     1.2649553886968896D-08     6.7383444534289740D-01     1.8704169482755121D-03     6.6691197823665513D-05     8.2789786788000832D-06     5.0166224428066001D-06     9.8101760573354326D-07     7.5916633275850511D-07     3.4020324236165051D-22     1.5505192867552413D-40     1.0301331473419761D-99     4.5197671308455698D-61     9.0369158723155482D-07     1.4811208662414174D-05     1.6504498981345818D-99 
  274     4.6458615766039939D+00     1.8607061004315649D+01     2.3353033805196541D+01     1.6810704644053271D+39     6.1909406464147025D-04    -1.4364491204531748D+06     3.8429245124785481D-03     1.2661162207715954D-02     1.0301331472455079D-99     9.6841919957314779D-49     1.0301331474384491D-99     1.0599194337048998D-77     3.5553870446887430D-02     2.8780671378252197D-01     1.2517186144912275D-08     6.7465940456373250D-01     1.8823347962870800D-03     6.6913189589415500D-05     8.2789971615288511D-06     5.0166224456837342D-06     9.8101760574188539D-07     7.5916633275851186D-07     3.4393983041578266D-22     1.5817340006709974D-40     1.0301331473419790D-99     4.6535419938989477D-61     9.0369158723155891D-07     1.4811208662414239D-05     2.3952807694126025D-99 
  275     4.6808152230937754D+00     1.8618119342192917D+01     2.3348732523166897D+01     1.6826926562116144D+39     6.5684370272939363D-04    -1.4248399909221902D+06     3.8448869955551195D-03     1.3606391904324166D-02     1.0301331472434986D-99     3.5602019776018218D-48     1.0301331474404549D-99     6.7715265719725348D-77     3.5288451267638478D-02     2.8726978197632551D-01     1.2390764459463183D-08     6.7544998368972111D-01     1.8938909234624315D-03     6.7129030405044733D-05     8.2790150463264655D-06     5.0166224484631989D-06     9.8101760574992571D-07     7.5916633275851426D-07     3.4756646325961062D-22     1.6123006337705017D-40     1.0301331473419770D-99     4.7857221282356974D-61     9.0369158723155855D-07     1.4811208662414234D-05     3.8575984320422001D-99 
  276     4.7165989693380412D+00     1.8629443993174167D+01     2.3344267397213624D+01     1.6851289715830963D+39     6.8704341319973432D-04    -1.4124686295449649D+06     3.8470330037522106D-03     1.1594870779277066D-02     1.0301331472412380D-99     2.1333191020707285D-47     1.0301331474427126D-99     1.5859381476554115D-76     3.4998831329080419D-02     2.8668311618796135D-01     1.2253170409178906D-08     6.7631326659882793D-01     1.9066548297033952D-03     6.7368059855665434D-05     8.2790347610154935D-06     5.0166224515220356D-06     9.8101760575881140D-07     7.5916633275851514D-07     3.5157586966234903D-22     1.6463851628671961D-40     1.0301331473419756D-99     4.9343960064046266D-61     9.0369158723155642D-07     1.4811208662414196D-05     6.7939012697557794D-99 
  277     4.7470550171442607D+00     1.8639048588195203D+01     2.3339699678080676D+01     1.6896228641401394D+39     4.8319536752500100D-04    -1.3996530733060541D+06     3.8493583808130814D-03     1.1803016812135897D-02     1.0301331472392685D-99     1.0791173285593309D-47     1.0301331474446893D-99     1.8398849229783248D-75     3.4751773920507593D-02     2.8618206347069627D-01     1.2136017628728099D-08     6.7705016076824771D-01     1.9176642172505831D-03     6.7574728902595753D-05     8.2790517350759706D-06     5.0166224541519115D-06     9.8101760576645915D-07     7.5916633275852118D-07     3.5503711571795961D-22     1.6760406352765464D-40     1.0301331473419794D-99     5.0647708974529512D-61     9.0369158723156015D-07     1.4811208662414259D-05     1.1314809660957052D-98 
  278     4.7678385408811738D+00     1.8645605763495392D+01     2.3336547272625463D+01     1.6903048924600150D+39     3.3219681517337700D-04    -1.3907732959915282D+06     3.8510332680468648D-03     9.4459868100077564D-03     1.0301331472377137D-99     9.5284436772745841D-44     1.0301331474462391D-99     3.0054983086542859D-75     3.4563217545423610D-02     2.8579935774919182D-01     1.2046724301643474D-08     6.7761280057850798D-01     1.9261274575651309D-03     6.7733851174322001D-05     8.2790647682898761D-06     5.0166224561690642D-06     9.8101760577236216D-07     7.5916633275852190D-07     3.5769938523987523D-22     1.6989673892140782D-40     1.0301331473419768D-99     5.1660844028494254D-61     9.0369158723155891D-07     1.4811208662414241D-05     1.6271251025092443D-98 
  279     4.7881570015185834D+00     1.8652064106997503D+01     2.3334407651273809D+01     1.6901073295276844D+39     4.8319536752499399D-04    -1.3847428273351905D+06     3.8521822438958977D-03     8.8661325804437307D-03     1.0301331472362147D-99     1.1227903944349739D-48     1.0301331474477322D-99     7.5304195233484447D-75     3.4379497985505618D-02     2.8542606863546167D-01     1.1959837568608349D-08     6.7816132384468792D-01     1.9344560102128466D-03     6.7890780074326109D-05     8.2790775735256705D-06     5.0166224581482152D-06     9.8101760577808931D-07     7.5916633275852305D-07     3.6032134408682821D-22     1.7217060680435616D-40     1.0301331473419736D-99     5.2672781650798095D-61     9.0369158723155784D-07     1.4811208662414225D-05     2.3812569133410694D-98 
  280     4.8147850515173225D+00     1.8660510090207688D+01     2.3331334136629648D+01     1.6906059397915278D+39     6.0399420940656529D-04    -1.3760850421616350D+06     3.8538637981574147D-03     1.0133641411760925D-02     1.0301331472342258D-99     4.5535736666811787D-54     1.0301331474497219D-99     2.9721760985250984D-74     3.4145412981471441D-02     2.8494993328457866D-01     1.1849243442394126D-08     6.7886062385221332D-01     1.9451740623263562D-03     6.8093169491446357D-05     8.2790940263311654D-06     5.0166224606877687D-06     9.8101760578549708D-07     7.5916633275852243D-07     3.6369822299285798D-22     1.7511974503064068D-40     1.0301331473419741D-99     5.3994465071689274D-61     9.0369158723155482D-07     1.4811208662414179D-05     3.8807579095033609D-98 
  281     4.8381186573265280D+00     1.8667870166263821D+01     2.3327554548349263D+01     1.6956288159641199D+39     3.6239652564379762D-04    -1.3654657201033186D+06     3.8560212391179335D-03     1.3591918124070985D-02     1.0301331472324108D-99     3.1939776974243021D-59     1.0301331474515369D-99     2.4337438320966731D-73     3.3937237601728633D-02     2.8452606082449021D-01     1.1750958648976033D-08     6.7948286592152520D-01     1.9547978120682728D-03     6.8275273800926079D-05     8.2791087767133575D-06     5.0166224629616822D-06     9.8101760579215913D-07     7.5916633275852269D-07     3.6673265445171576D-22     1.7778771722071738D-40     1.0301331473419739D-99     5.5198215081005246D-61     9.0369158723155358D-07     1.4811208662414157D-05     5.9002795739567481D-98 
  282     4.8566614964373151D+00     1.8673757677073743D+01     2.3325319010100522D+01     1.6952633836341073D+39     4.2279594658445827D-04    -1.3592097927951585D+06     3.8573272651761820D-03     5.6483096681027182D-03     1.0301331472309371D-99     1.6464323320669310D-61     1.0301331474530128D-99     1.3093492303106173D-73     3.3765279537272578D-02     2.8417559828639964D-01     1.1669781110864996D-08     6.7999711424791176D-01     1.9628181021977827D-03     6.8427328731812941D-05     8.2791210521840774D-06     5.0166224648516157D-06     9.8101760579766654D-07     7.5916633275852678D-07     3.6926331223882775D-22     1.8002661671056523D-40     1.0301331473419752D-99     5.6214658347159991D-61     9.0369158723155553D-07     1.4811208662414186D-05     8.4023963509415704D-98 
  283     4.8832148936090780D+00     1.8682204966188182D+01     2.3322740244841564D+01     1.6930737573573109D+39     7.2479305128758131D-04    -1.3520218332727766D+06     3.8588388975233813D-03     9.3466568976155439D-03     1.0301331472287686D-99     3.0624935530885375D-56     1.0301331474551838D-99     5.3979711594782893D-74     3.3525156309580701D-02     2.8368572616082104D-01     1.1556350199815588D-08     6.8071559129148395D-01     1.9741217742718841D-03     6.8642062508538721D-05     8.2791383278110934D-06     5.0166224675080162D-06     9.8101760580545800D-07     7.5916633275853184D-07     3.7283266298985271D-22     1.8320496399757249D-40     1.0301331473419756D-99     5.7666955721120043D-61     9.0369158723155837D-07     1.4811208662414230D-05     1.3837581675681838D-97 
  284     4.9134308102749981D+00     1.8691777293669275D+01     2.3318390391489480D+01     1.7002099066314986D+39     6.0399420940636403D-04    -1.3399803826863805D+06     3.8614734118547012D-03     1.0071163066644441D-02     1.0301331472261847D-99     6.6190201699632016D-51     1.0301331474577661D-99     4.1300047104219510D-74     3.3243049298257680D-02     2.8310952068116970D-01     1.1422936042731219D-08     6.8156021955157415D-01     1.9875504016963409D-03     6.8897778891662051D-05     8.2791588152726518D-06     5.0166224706535684D-06     9.8101760581468120D-07     7.5916633275853389D-07     3.7707687406912095D-22     1.8701372393079584D-40     1.0301331473419754D-99     5.9420841301508389D-61     9.0369158723155731D-07     1.4811208662414214D-05     2.4232494864308362D-97 
